,Date,G#,Age,Tm,Away,Opp,Att,Rush_YDS,Y/A,Rush_TD,Tgt,Rec,Rec_YDS,Y/R,Rec_TD,Ctch%,Y/Tgt,Snap_Pct,Snaps,Name,Position,Season,DKPt
261,2020-11-22,10.0,30.309,NOR,0,ATL,12.0,49.0,4.08,0.0,2.0,2.0,36.0,18.0,0.0,100.0%,18.0,49%,33.0,Latavius Murray,RB,2020,10.5
262,2020-11-29,11.0,30.316,NOR,1,DEN,19.0,124.0,6.53,2.0,1.0,1.0,2.0,2.0,0.0,100.0%,2.0,47%,30.0,Latavius Murray,RB,2020,28.6
263,2020-12-06,12.0,30.323,NOR,1,ATL,5.0,17.0,3.4,0.0,2.0,2.0,0.0,0.0,0.0,100.0%,0.0,41%,32.0,Latavius Murray,RB,2020,3.7
264,2020-09-13,1.0,24.153000000000002,ARI,1,SFO,6.0,26.0,4.33,0.0,5.0,3.0,19.0,6.33,1.0,60.0%,3.8,34%,28.0,Chase Edmonds,RB,2020,13.5
265,2020-09-20,2.0,24.16,ARI,0,WAS,3.0,4.0,1.33,0.0,4.0,3.0,9.0,3.0,0.0,75.0%,2.25,35%,27.0,Chase Edmonds,RB,2020,4.3
266,2020-09-27,3.0,24.166999999999998,ARI,0,DET,3.0,13.0,4.33,0.0,2.0,2.0,21.0,10.5,0.0,100.0%,10.5,32%,21.0,Chase Edmonds,RB,2020,5.4
267,2020-10-04,4.0,24.174,ARI,1,CAR,4.0,16.0,4.0,0.0,6.0,5.0,24.0,4.8,1.0,83.3%,4.0,37%,21.0,Chase Edmonds,RB,2020,15.0
268,2020-10-11,5.0,24.180999999999997,ARI,1,NYJ,3.0,36.0,12.0,1.0,6.0,5.0,56.0,11.2,0.0,83.3%,9.33,45%,34.0,Chase Edmonds,RB,2020,20.2
269,2020-10-19,6.0,24.189,ARI,1,DAL,5.0,23.0,4.6,0.0,2.0,1.0,6.0,6.0,0.0,50.0%,3.0,37%,23.0,Chase Edmonds,RB,2020,3.9
270,2020-10-25,7.0,24.195,ARI,0,SEA,5.0,58.0,11.6,0.0,7.0,7.0,87.0,12.43,0.0,100.0%,12.43,61%,51.0,Chase Edmonds,RB,2020,21.5
271,2020-11-08,8.0,24.209,ARI,0,MIA,25.0,70.0,2.8,0.0,3.0,3.0,18.0,6.0,0.0,100.0%,6.0,96%,66.0,Chase Edmonds,RB,2020,11.8
272,2020-11-15,9.0,24.215999999999998,ARI,0,BUF,8.0,56.0,7.0,0.0,3.0,3.0,21.0,7.0,0.0,100.0%,7.0,49%,36.0,Chase Edmonds,RB,2020,10.7
273,2020-11-19,10.0,24.22,ARI,1,SEA,2.0,13.0,6.5,0.0,4.0,4.0,36.0,9.0,1.0,100.0%,9.0,54%,36.0,Chase Edmonds,RB,2020,14.9
274,2020-11-29,11.0,24.23,ARI,1,NWE,6.0,29.0,4.83,0.0,5.0,4.0,14.0,3.5,0.0,80.0%,2.8,43%,32.0,Chase Edmonds,RB,2020,8.3
275,2020-12-06,12.0,24.237,ARI,0,LAR,6.0,28.0,4.67,0.0,6.0,2.0,15.0,7.5,0.0,33.3%,2.5,58%,37.0,Chase Edmonds,RB,2020,6.3
276,2020-09-14,1.0,25.349,NYG,0,PIT,0.0,0.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,100.0%,14.0,4%,3.0,Wayne Gallman,RB,2020,2.4
277,2020-09-27,3.0,25.362,NYG,0,SFO,4.0,7.0,1.75,0.0,3.0,2.0,7.0,3.5,0.0,66.7%,2.33,35%,18.0,Wayne Gallman,RB,2020,3.4
278,2020-10-04,4.0,26.003,NYG,1,LAR,6.0,45.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,15%,10.0,Wayne Gallman,RB,2020,4.5
279,2020-10-11,5.0,26.01,NYG,1,DAL,5.0,24.0,4.8,0.0,2.0,2.0,0.0,0.0,0.0,100.0%,0.0,18%,12.0,Wayne Gallman,RB,2020,4.4
280,2020-10-18,6.0,26.017,NYG,0,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,8%,4.0,Wayne Gallman,RB,2020,0.0
281,2020-10-22,7.0,26.021,NYG,1,PHI,10.0,34.0,3.4,1.0,5.0,5.0,20.0,4.0,0.0,100.0%,4.0,53%,32.0,Wayne Gallman,RB,2020,16.4
282,2020-11-02,8.0,26.031999999999996,NYG,0,TAM,12.0,44.0,3.67,1.0,1.0,1.0,18.0,18.0,0.0,100.0%,18.0,43%,32.0,Wayne Gallman,RB,2020,13.2
283,2020-11-08,9.0,26.038,NYG,1,WAS,14.0,68.0,4.86,1.0,2.0,1.0,9.0,9.0,0.0,50.0%,4.5,57%,44.0,Wayne Gallman,RB,2020,14.7
284,2020-11-15,10.0,26.045,NYG,0,PHI,18.0,53.0,2.94,2.0,2.0,1.0,7.0,7.0,0.0,50.0%,3.5,59%,42.0,Wayne Gallman,RB,2020,19.0
285,2020-11-29,11.0,26.059,NYG,1,CIN,24.0,94.0,3.92,1.0,5.0,3.0,-3.0,-1.0,0.0,60.0%,-0.6,63%,51.0,Wayne Gallman,RB,2020,18.1
286,2020-12-06,12.0,26.066,NYG,1,SEA,16.0,135.0,8.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,50%,28.0,Wayne Gallman,RB,2020,16.5
287,2020-09-13,1.0,35.176,DET,0,CHI,14.0,93.0,6.64,0.0,3.0,3.0,21.0,7.0,0.0,100.0%,7.0,31%,24.0,Adrian Peterson,RB,2020,14.4
288,2020-09-20,2.0,35.183,DET,1,GNB,7.0,41.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,25%,15.0,Adrian Peterson,RB,2020,4.1
289,2020-09-27,3.0,35.19,DET,1,ARI,22.0,75.0,3.41,0.0,1.0,1.0,10.0,10.0,0.0,100.0%,10.0,59%,39.0,Adrian Peterson,RB,2020,9.5
290,2020-10-04,4.0,35.196999999999996,DET,0,NOR,11.0,36.0,3.27,1.0,2.0,0.0,0.0,0.0,0.0,0.0%,0.0,44%,27.0,Adrian Peterson,RB,2020,9.6
291,2020-10-18,5.0,35.211,DET,1,JAX,15.0,40.0,2.67,1.0,1.0,1.0,18.0,18.0,0.0,100.0%,18.0,35%,27.0,Adrian Peterson,RB,2020,12.8
292,2020-10-25,6.0,35.218,DET,1,ATL,11.0,29.0,2.64,0.0,1.0,1.0,1.0,1.0,0.0,100.0%,1.0,31%,19.0,Adrian Peterson,RB,2020,4.0
293,2020-11-01,7.0,35.225,DET,0,IND,5.0,7.0,1.4,0.0,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,20%,12.0,Adrian Peterson,RB,2020,2.2
294,2020-11-08,8.0,35.232,DET,1,MIN,8.0,29.0,3.63,0.0,5.0,3.0,14.0,4.67,0.0,60.0%,2.8,27%,20.0,Adrian Peterson,RB,2020,7.3
295,2020-11-15,9.0,35.239000000000004,DET,0,WAS,4.0,21.0,5.25,0.0,1.0,1.0,9.0,9.0,0.0,100.0%,9.0,12%,7.0,Adrian Peterson,RB,2020,4.0
296,2020-11-22,10.0,35.246,DET,1,CAR,7.0,18.0,2.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0%,0.0,30%,17.0,Adrian Peterson,RB,2020,1.8
